uri,artist,name,danceability,energy,key,tempo,duration_ms,popularity,track
41wtwzCZkXwpnakmwJ239F,Bad Bunny,,0.9,0.603,2,129.928,170972,81,Si Veo a Tu Mamá
5eGEc27nnhtmcOh6RC890a,Eminem,,0.897,0.559,11,106.991,264400,71,Kill You
5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,,0.872,0.588,0,142.004,230704,79,Yo No Soy Celoso
2Z4VK9otSeq3MxWcEgptUa,Duki,,0.851,0.657,11,140.05,178295,0,Si Te Sentis Sola
04d4GpLedinwpfctvgOIhY,Quevedo,,0.827,0.541,11,128.028,213647,71,Piel de Cordero
69Va1kxcuI2i7rm3hmYLBL,Sandor,,0.813,0.643,8,125.009,184800,52,Heartbeat
2cIDetbjLPkhYf4r7z86WH,Dread Mar I,,0.797,0.41,9,83.963,245056,79,Tu Sin Mi
4Qup5wrYCm9I4dJHxmoRJY,J Balvin,,0.78,0.609,3,87.964,220853,63,Yo Te Lo Dije
59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,,0.466,0.833,7,88.785,313573,82,Killing In The Name
22TyikLrwsaXhsL31mewls,Eladio Carrion,,0.382,0.618,2,183.061,161311,68,Que Cojones

